Date,Open,High,Low,Close
"2017-07-17 00:00:00",1938.94,2244.26,1938.73,2244.26
"2017-07-18 00:00:00",2244.26,2407.19,2169.64,2327.9
"2017-07-19 00:00:00",2327.9,2413.48,2243.98,2294.4
"2017-07-20 00:00:00",2294.4,2948.51,2276.15,2877.39
"2017-07-21 00:00:00",2877.39,2889.42,2621.23,2694.29
"2017-07-22 00:00:00",2694.29,2875.78,2678.04,2838.81
"2017-07-23 00:00:00",2838.81,2860.3,2670.76,2762.63
"2017-07-24 00:00:00",2762.63,2813.97,2720.71,2779.04
"2017-07-25 00:00:00",2779.04,2824,2485.18,2591.22
"2017-07-26 00:00:00",2591.22,2633.03,2433.83,2550.18
"2017-07-27 00:00:00",2550.18,2715.69,2541.71,2697.47
"2017-07-28 00:00:00",2697.47,2833.24,2682.87,2805.18
"2017-07-29 00:00:00",2805.18,2809.03,2681.55,2720.08
"2017-07-30 00:00:00",2720.08,2753.33,2615.81,2746.33
"2017-07-31 00:00:00",2746.33,2908.29,2706.82,2873.83
"2017-08-01 00:00:00",2873.83,2925.03,2680.85,2735.59
"2017-08-02 00:00:00",2735.59,2772.56,2675.68,2723.58
"2017-08-03 00:00:00",2723.58,2824.38,2715.49,2814.36
"2017-08-04 00:00:00",2814.36,2897.79,2797.12,2883.68
"2017-08-05 00:00:00",2883.68,3360.87,2881.85,3301.76
"2017-08-06 00:00:00",3301.76,3330.34,3190.19,3255
"2017-08-07 00:00:00",3255,3451.85,3222.91,3431.97
"2017-08-08 00:00:00",3431.97,3538.04,3357.39,3453.16
"2017-08-09 00:00:00",3453.16,3460.54,3280.32,3377.54
"2017-08-10 00:00:00",3377.54,3481.09,3353.42,3445.28
"2017-08-11 00:00:00",3445.28,3754.62,3427.01,3679.61
"2017-08-12 00:00:00",3679.61,4009.89,3639.77,3917.65
"2017-08-13 00:00:00",3917.65,4225.4,3890,4111.2
"2017-08-14 00:00:00",4111.2,4384.05,4031.85,4382.74
"2017-08-15 00:00:00",4382.74,4483.55,3892.72,4204.43
"2017-08-16 00:00:00",4204.43,4434.41,3985.23,4425.3
"2017-08-17 00:00:00",4425.3,4522.13,4235.79,4316.34
"2017-08-18 00:00:00",4316.34,4407.8,4040.05,4159.46
"2017-08-19 00:00:00",4159.46,4248.04,4033.54,4206.13
"2017-08-20 00:00:00",4206.13,4227.09,4101.06,4111.22
"2017-08-21 00:00:00",4111.22,4353.42,3964.77,4054.94
"2017-08-22 00:00:00",4054.94,4217.67,3687.28,4137.67
"2017-08-23 00:00:00",4137.67,4447.89,4066.62,4191.22
"2017-08-24 00:00:00",4191.22,4400.75,4153.8,4362.47
"2017-08-25 00:00:00",4362.47,4496.29,4311.8,4408.32
"2017-08-26 00:00:00",4408.32,4441.48,4285.73,4387.46
"2017-08-27 00:00:00",4387.46,4456.11,4321.57,4394.51
"2017-08-28 00:00:00",4394.51,4475.7,4221.44,4439.66
"2017-08-29 00:00:00",4439.66,4703.42,4365.7,4648.13
"2017-08-30 00:00:00",4648.13,4707.55,4545.54,4630.73
"2017-08-31 00:00:00",4630.73,4802.74,4629.78,4764.87
"2017-09-01 00:00:00",4764.87,4950.72,4726.74,4950.72
"2017-09-02 00:00:00",4950.72,5013.91,4529.37,4643.97
"2017-09-03 00:00:00",4643.97,4749.03,4481.52,4631.69
"2017-09-04 00:00:00",4631.69,4636.31,4167.53,4319.72
"2017-09-05 00:00:00",4319.72,4494.53,4037.5,4422.12
"2017-09-06 00:00:00",4422.12,4666.47,4421.53,4626.72
"2017-09-07 00:00:00",4626.72,4691.98,4506.66,4638.1
"2017-09-08 00:00:00",4638.1,4698.73,4151.64,4317.54
"2017-09-09 00:00:00",4317.54,4394.52,4161.97,4291.88
"2017-09-10 00:00:00",4291.88,4302.2,3976.46,4191.17
"2017-09-11 00:00:00",4191.17,4334.51,4108.47,4188.84
"2017-09-12 00:00:00",4188.84,4368.22,4067.41,4148.27
"2017-09-13 00:00:00",4148.27,4152.07,3766.36,3874.26
"2017-09-14 00:00:00",3874.26,3923.98,3209.44,3226.41
"2017-09-15 00:00:00",3226.41,3761.18,2951.15,3686.9
"2017-09-16 00:00:00",3686.9,3874.63,3551.76,3678.74
"2017-09-17 00:00:00",3678.74,3784.11,3484.8,3672.57
"2017-09-18 00:00:00",3672.57,4077.22,3672.57,4067.08
"2017-09-19 00:00:00",4067.08,4080.5,3847.35,3897
"2017-09-20 00:00:00",3897,4021.46,3826.36,3858.09
"2017-09-21 00:00:00",3858.09,3890.98,3584.59,3612.68
"2017-09-22 00:00:00",3612.68,3748.7,3519.07,3603.31
"2017-09-23 00:00:00",3603.31,3810.54,3573.24,3777.29
"2017-09-24 00:00:00",3777.29,3777.92,3627.53,3662.12
"2017-09-25 00:00:00",3662.12,3970.26,3662.12,3927.5
"2017-09-26 00:00:00",3927.5,3968.54,3865.23,3895.51
"2017-09-27 00:00:00",3895.51,4228.08,3891.22,4208.56
"2017-09-28 00:00:00",4208.56,4278.78,4134.75,4185.29
"2017-09-29 00:00:00",4185.29,4227.44,4027.04,4164.1
"2017-09-30 00:00:00",4164.1,4358.4,4157.23,4353.05
"2017-10-01 00:00:00",4353.05,4395.23,4261.35,4394.64
"2017-10-02 00:00:00",4394.64,4462.01,4376.08,4404.1
"2017-10-03 00:00:00",4404.1,4429.32,4246.29,4320.09
"2017-10-04 00:00:00",4320.09,4345.28,4189.57,4225.92
"2017-10-05 00:00:00",4225.92,4355.89,4150.76,4322.75
"2017-10-06 00:00:00",4322.75,4417.45,4303.48,4370.24
"2017-10-07 00:00:00",4370.24,4461.66,4330.28,4437.03
"2017-10-08 00:00:00",4437.03,4606.18,4419.19,4596.96
"2017-10-09 00:00:00",4596.96,4870.04,4554.03,4772.97
"2017-10-10 00:00:00",4772.97,4909.18,4728.41,4754.7
"2017-10-11 00:00:00",4754.7,4882.69,4726.28,4830.77
"2017-10-12 00:00:00",4830.77,5439.13,4809.93,5439.13
"2017-10-13 00:00:00",5439.13,5856.1,5396.23,5640.13
"2017-10-14 00:00:00",5640.13,5814.23,5570.04,5809.69
"2017-10-15 00:00:00",5809.69,5844.77,5439.98,5697.39
"2017-10-16 00:00:00",5697.39,5789.79,5569.31,5754.22
"2017-10-17 00:00:00",5754.22,5769.51,5520.48,5595.23
"2017-10-18 00:00:00",5595.23,5599.56,5109.7,5572.2
"2017-10-19 00:00:00",5572.2,5735.15,5519.99,5699.58
"2017-10-20 00:00:00",5699.58,6064.14,5611.12,5984.09
"2017-10-21 00:00:00",5984.09,6183.98,5886.65,6013.23
"2017-10-22 00:00:00",6013.23,6068.08,5733.02,5984.96
"2017-10-23 00:00:00",5984.96,6050.2,5653.73,5895.3
"2017-10-24 00:00:00",5895.3,5895.3,5463.44,5518.85
"2017-10-25 00:00:00",5518.85,5751.68,5374.6,5733.9
"2017-10-26 00:00:00",5733.9,5978.04,5691.05,5888.14
"2017-10-27 00:00:00",5888.14,5995.93,5691.76,5767.68
